post_name,company,date_posted,link
"Thermal Engineer, Thermal & Fluid Analysis (Starship)",SpaceX,2024-07-13,https://www.linkedin.com/jobs/view/thermal-engineer-thermal-fluid-analysis-starship-at-spacex-3937157056?position=35&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=ScvzQxxAAXoAZqMnRVPqxg%3D%3D&trk=public_jobs_jserp-result_search-card
Chemical Engineer,Indotronix International Corporation,2024-07-14,https://www.linkedin.com/jobs/view/chemical-engineer-at-indotronix-international-corporation-3972139728?position=38&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=hqOd2pTXfAKBP9PcwfAfUA%3D%3D&trk=public_jobs_jserp-result_search-card
"Research Aerospace Engineer, AST, Fluid Mechanics (Direct Hire)",NASA - National Aeronautics and Space Administration,2024-07-01,https://www.linkedin.com/jobs/view/research-aerospace-engineer-ast-fluid-mechanics-direct-hire-at-nasa-national-aeronautics-and-space-administration-3962778158?position=39&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=EtbSLSdl4%2FS5gJHZxXCgzg%3D%3D&trk=public_jobs_jserp-result_search-card
Aerothermal Engineer,Whisper Aero,2024-06-27,https://www.linkedin.com/jobs/view/aerothermal-engineer-at-whisper-aero-3960439496?position=40&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=i93nNzEL0IfqubRItVLioA%3D%3D&trk=public_jobs_jserp-result_search-card
"Thermal Design Engineer @ Austin, TX || AMDJP00003409 || AMD",Infobahn Softworld Inc,2024-04-24,https://www.linkedin.com/jobs/view/thermal-design-engineer-%40-austin-tx-amdjp00003409-amd-at-infobahn-softworld-inc-3908642675?position=41&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=Pz6fcivut2PaZTX5z5eL0w%3D%3D&trk=public_jobs_jserp-result_search-card
Performance/Simulation Engineer,Intellectt Inc,2024-06-06,https://www.linkedin.com/jobs/view/performance-simulation-engineer-at-intellectt-inc-3943574195?position=42&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=%2F%2FvfVRGg9Z18M%2BElWimFCg%3D%3D&trk=public_jobs_jserp-result_search-card
Sr. Aerodynamic Engineer,JetZero,2024-05-23,https://www.linkedin.com/jobs/view/sr-aerodynamic-engineer-at-jetzero-3933376676?position=43&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=f1ZA%2BTtOX87rPm30nGa%2B9Q%3D%3D&trk=public_jobs_jserp-result_search-card
Turbine Aerodynamics Engineer,Insight Global,2024-06-19,https://www.linkedin.com/jobs/view/turbine-aerodynamics-engineer-at-insight-global-3953168801?position=44&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=gNFhJNznlwCUL7dJWMdK0A%3D%3D&trk=public_jobs_jserp-result_search-card
Modeling and Simulation Engineer,Calhoun International,2024-07-03,https://www.linkedin.com/jobs/view/modeling-and-simulation-engineer-at-calhoun-international-3965917556?position=45&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=kLXgGV75xDjBVrI%2Fz9ip5w%3D%3D&trk=public_jobs_jserp-result_search-card
Product Development Thermal Engineer,Midea America Corp,2024-07-11,https://www.linkedin.com/jobs/view/product-development-thermal-engineer-at-midea-america-corp-3972911940?position=46&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=INWp62GtKU1gNHdCZaSg9Q%3D%3D&trk=public_jobs_jserp-result_search-card
Computational Fluid Dynamics Engineer,Executive Recruiting Group,2024-06-25,https://www.linkedin.com/jobs/view/computational-fluid-dynamics-engineer-at-executive-recruiting-group-3959057326?position=47&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=OvNwKR1%2BIRR5APCZXFQ7ZA%3D%3D&trk=public_jobs_jserp-result_search-card
GE Aerospace Research 2025 Edison Rotational Program,GE Aerospace,2024-07-13,https://www.linkedin.com/jobs/view/ge-aerospace-research-2025-edison-rotational-program-at-ge-aerospace-3955654264?position=48&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=0kxdl7dcjze9w20v8zesjg%3D%3D&trk=public_jobs_jserp-result_search-card
"Intern, R&D Fluid Modeling","Energy Recovery, Inc.",2024-06-26,https://www.linkedin.com/jobs/view/intern-r-d-fluid-modeling-at-energy-recovery-inc-3959573557?position=49&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=oxZPFo36Q626or%2BOPFNQXA%3D%3D&trk=public_jobs_jserp-result_search-card
"Thermal Engineer, Thermal & Fluid Analysis (Starship)",SpaceX,2024-07-02,https://www.linkedin.com/jobs/view/thermal-engineer-thermal-fluid-analysis-starship-at-spacex-3965705276?position=50&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=k06CwsyMgt1vo7xeS%2B%2BnLw%3D%3D&trk=public_jobs_jserp-result_search-card
Chemical Process Engineer,Akkodis,2024-07-15,https://www.linkedin.com/jobs/view/chemical-process-engineer-at-akkodis-3973333803?position=51&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=uG%2FYc1dD0bk8yGeO0N3p%2BA%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Engineer,Babcock Power,2023-11-08,https://www.linkedin.com/jobs/view/thermal-engineer-at-babcock-power-3761303028?position=52&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=AR21HjWhM73xrqTSdXZDFQ%3D%3D&trk=public_jobs_jserp-result_search-card
Aerodynamics Engineer,Natilus,2024-04-09,https://www.linkedin.com/jobs/view/aerodynamics-engineer-at-natilus-3888117106?position=53&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=fw4lt%2BXzscRRnLH2593kPA%3D%3D&trk=public_jobs_jserp-result_search-card
CFD Engineer,LER TechForce,2024-06-28,https://www.linkedin.com/jobs/view/cfd-engineer-at-ler-techforce-3960269471?position=54&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=d3Y0Gui4AT%2FtAsSD5x7jZg%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Engineer (Dragon & Falcon),SpaceX,2024-06-30,https://www.linkedin.com/jobs/view/thermal-engineer-dragon-falcon-at-spacex-3928925753?position=55&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=aipMKa4Zz246KyvdSMrn1Q%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Engineer I/II,York Space Systems LLC,2024-06-28,https://www.linkedin.com/jobs/view/thermal-engineer-i-ii-at-york-space-systems-llc-3962627164?position=56&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=u%2Bfhq6730klXkK%2BlkEurMQ%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Engineer,TYCOOL,2024-06-20,https://www.linkedin.com/jobs/view/thermal-engineer-at-tycool-3953619519?position=57&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=EsL7fXEZv4%2FrD%2BWG6cM3ng%3D%3D&trk=public_jobs_jserp-result_search-card
Thermal Sciences Managing Engineer,Exponent,2024-07-13,https://www.linkedin.com/jobs/view/thermal-sciences-managing-engineer-at-exponent-3704016564?position=58&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=76MhzsXxz4mG6Rg8x6YQMw%3D%3D&trk=public_jobs_jserp-result_search-card
"Thermal Engineer, Analysis (Starshield)",SpaceX,2024-06-30,https://www.linkedin.com/jobs/view/thermal-engineer-analysis-starshield-at-spacex-3928922756?position=59&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=P8nQ8%2BIG53t4LePrTZPqPA%3D%3D&trk=public_jobs_jserp-result_search-card
IR Plume Modeling and Simulation Engineer,Qualis Corporation,2024-03-05,https://www.linkedin.com/jobs/view/ir-plume-modeling-and-simulation-engineer-at-qualis-corporation-3846934089?position=60&pageNum=0&refId=T1h1XoDaXytmNmONelRuWQ%3D%3D&trackingId=MnPj213BtVsA%2Bid6CrpePg%3D%3D&trk=public_jobs_jserp-result_search-card
