post_name,company,date_posted,link
Simulation Engineer,PhysicsX,2024-01-31,https://uk.linkedin.com/jobs/view/simulation-engineer-at-physicsx-3814736181?position=47&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=FFlhLaFJSKxTNczrbyGIlw%3D%3D&trk=public_jobs_jserp-result_search-card
Senior Aerodynamicist,Mane Contract Services,2024-07-10,https://uk.linkedin.com/jobs/view/senior-aerodynamicist-at-mane-contract-services-3970873474?position=48&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=OcXdhfUhx3UKgGdcQT8Yzg%3D%3D&trk=public_jobs_jserp-result_search-card
Lead Mechanical Engineer,Aggreko,2024-06-28,https://uk.linkedin.com/jobs/view/lead-mechanical-engineer-at-aggreko-3963070482?position=49&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=%2Bev2dCtHKiewgFBiFWEyig%3D%3D&trk=public_jobs_jserp-result_search-card
Mechanical Engineer - Biotech Instruments - Cambridge,Newton Colmore,2024-07-02,https://uk.linkedin.com/jobs/view/mechanical-engineer-biotech-instruments-cambridge-at-newton-colmore-3965649997?position=50&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=ULw8VcRwC7Drqsa69bAVhA%3D%3D&trk=public_jobs_jserp-result_search-card
Graduate Modelling and Simulation Engineer,myGwork - LGBTQ+ Business Community,2024-07-01,https://uk.linkedin.com/jobs/view/graduate-modelling-and-simulation-engineer-at-mygwork-lgbtq%2B-business-community-3961821343?position=51&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=KmUJZQUWe5PlycTQTlpL5w%3D%3D&trk=public_jobs_jserp-result_search-card
Advanced Lead Engineer - Thermal Systems Design (m/f/d) - remote option,GE Aerospace,2024-07-14,https://uk.linkedin.com/jobs/view/advanced-lead-engineer-thermal-systems-design-m-f-d-remote-option-at-ge-aerospace-3903935495?position=52&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=APX%2FxCS%2FiFzcN2B3KRrHSw%3D%3D&trk=public_jobs_jserp-result_search-card
Simulation Engineer,CONTECHS,2024-06-27,https://uk.linkedin.com/jobs/view/simulation-engineer-at-contechs-3960629111?position=54&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=1JJKPb3QGaIG4gtskCCRcQ%3D%3D&trk=public_jobs_jserp-result_search-card
Lead Engineer - Aero Regulations,Andretti Global,2024-06-26,https://uk.linkedin.com/jobs/view/lead-engineer-aero-regulations-at-andretti-global-3932157055?position=55&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=vVqI9oCqEQaqG8RoB%2FnCCg%3D%3D&trk=public_jobs_jserp-result_search-card
Principal Aerodynamicist,Mane Contract Services,2024-07-10,https://uk.linkedin.com/jobs/view/principal-aerodynamicist-at-mane-contract-services-3970871493?position=56&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=qOishWqUEN7ScjsavqYt2w%3D%3D&trk=public_jobs_jserp-result_search-card
Aerodynamics Project Leader,Williams Racing,2024-07-13,https://uk.linkedin.com/jobs/view/aerodynamics-project-leader-at-williams-racing-3937082585?position=57&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=3FGrf%2FbtTP0YboBAHA7Z9A%3D%3D&trk=public_jobs_jserp-result_search-card
Graduate Naval Architect (Marine Tech),DRIFT Energy Ltd,2024-07-15,https://uk.linkedin.com/jobs/view/graduate-naval-architect-marine-tech-at-drift-energy-ltd-3976629279?position=58&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=GuDR4VchuC7uTau67bcySQ%3D%3D&trk=public_jobs_jserp-result_search-card
Graduate / Trainee Fire Engineer,House of Opportunity,2024-06-05,https://uk.linkedin.com/jobs/view/graduate-trainee-fire-engineer-at-house-of-opportunity-3942810655?position=59&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=p%2FqV0AfwWEaBBOM3MvFelw%3D%3D&trk=public_jobs_jserp-result_search-card
Staff Engineer – Thermal Systems Design (m/f/d) - remote option,GE Aerospace,2024-07-14,https://uk.linkedin.com/jobs/view/staff-engineer-%E2%80%93-thermal-systems-design-m-f-d-remote-option-at-ge-aerospace-3903929939?position=60&pageNum=0&refId=wVYkEfdjWy3PbUFCXYSqlw%3D%3D&trackingId=sPdRVZlzFWpHMeVWCwlwBQ%3D%3D&trk=public_jobs_jserp-result_search-card
